Date,Time,Open,High,Low,Close,Volume
2022-5-13,15:30,66287.0,66394.0,66105.0,66156.0,60610.0
2022-5-13,15:0,65900.0,66623.0,65741.0,66288.0,257381.0
2022-5-13,14:30,65733.0,66000.0,65111.0,65896.0,235321.0
2022-5-13,14:0,65619.0,66075.0,65585.0,65747.0,155920.0
2022-5-13,13:30,65185.0,66250.0,64945.0,65619.0,367647.0
2022-5-13,13:0,64126.0,65288.0,64064.0,65181.0,275360.0
2022-5-13,12:30,64142.0,64230.0,63970.0,64125.0,77197.0
2022-5-13,12:0,64153.0,64192.0,63818.0,64142.0,104110.0
2022-5-13,11:30,64057.0,64280.0,63968.0,64153.0,101796.0
2022-5-13,11:0,63914.0,64216.0,63812.0,64049.0,107004.0
2022-5-13,10:30,64218.0,64283.0,63753.0,63914.0,234292.0
2022-5-13,10:0,64458.0,64824.0,63613.0,64218.0,295547.0
2022-5-12,18:30,64557.0,64730.0,64163.0,64237.0,84100.0
2022-5-12,18:0,64879.0,65279.0,64552.0,64552.0,175768.0
2022-5-12,17:30,64573.0,64971.0,64510.0,64875.0,130333.0
2022-5-12,17:0,65407.0,65417.0,64450.0,64581.0,226940.0
2022-5-12,16:30,65806.0,65850.0,65381.0,65407.0,115526.0
2022-5-12,16:0,65974.0,66030.0,65665.0,65806.0,114624.0
2022-5-12,15:30,66100.0,66192.0,65829.0,65974.0,99361.0
2022-5-12,15:0,66308.0,66360.0,65930.0,66100.0,117946.0
2022-5-12,14:30,66305.0,66448.0,66045.0,66308.0,146691.0
2022-5-12,14:0,66577.0,66606.0,66270.0,66305.0,60868.0
2022-5-12,13:30,66391.0,66739.0,66356.0,66580.0,64368.0
2022-5-12,13:0,66674.0,66853.0,66390.0,66390.0,75210.0
2022-5-12,12:30,66755.0,66888.0,66339.0,66677.0,106634.0
2022-5-12,12:0,66252.0,67026.0,66235.0,66747.0,299740.0
2022-5-12,11:30,66578.0,66742.0,66100.0,66250.0,171619.0
2022-5-12,11:0,66613.0,67270.0,66332.0,66585.0,319445.0
2022-5-12,10:30,68081.0,68214.0,66540.0,66613.0,234133.0
2022-5-12,10:0,67792.0,68484.0,67261.0,68081.0,251109.0
2022-5-11,18:30,68220.0,68250.0,67926.0,68020.0,57331.0
2022-5-11,18:0,68478.0,68590.0,67856.0,68225.0,119328.0
2022-5-11,17:30,68285.0,68488.0,68032.0,68481.0,98408.0
2022-5-11,17:0,67726.0,68500.0,67650.0,68283.0,166323.0
2022-5-11,16:30,67862.0,68283.0,67551.0,67727.0,147216.0
2022-5-11,16:0,69036.0,69036.0,67654.0,67856.0,247614.0
2022-5-11,15:30,69162.0,69269.0,69008.0,69031.0,49531.0
2022-5-11,15:0,69080.0,69330.0,68890.0,69162.0,77634.0
2022-5-11,14:30,69145.0,69385.0,68837.0,69084.0,161598.0
2022-5-11,14:0,69166.0,69270.0,69027.0,69147.0,119648.0
2022-5-11,13:30,68750.0,69242.0,68601.0,69152.0,190158.0
2022-5-11,13:0,69068.0,69068.0,68565.0,68750.0,119725.0
2022-5-11,12:30,69093.0,69476.0,68844.0,69067.0,152813.0
2022-5-11,12:0,70050.0,70350.0,69055.0,69088.0,181254.0
2022-5-11,11:30,70422.0,70590.0,69620.0,70048.0,192979.0
2022-5-11,11:0,70989.0,71030.0,70253.0,70421.0,153892.0
2022-5-11,10:30,70926.0,71155.0,70821.0,70990.0,106811.0
2022-5-11,10:0,70450.0,71443.0,69859.0,70918.0,280813.0
2022-5-6,18:30,69973.0,70493.0,69811.0,70411.0,83691.0
2022-5-6,18:0,70429.0,70500.0,69901.0,69975.0,82600.0
2022-5-6,17:30,70280.0,70460.0,70188.0,70424.0,61735.0
2022-5-6,17:0,70285.0,70529.0,70209.0,70281.0,47636.0
2022-5-6,16:30,70163.0,70509.0,70134.0,70295.0,78986.0
2022-5-6,16:0,70441.0,70638.0,70114.0,70167.0,104205.0
2022-5-6,15:30,70447.0,70661.0,69934.0,70442.0,159033.0
2022-5-6,15:0,70840.0,71400.0,69800.0,70450.0,368776.0
2022-5-6,14:30,69450.0,70973.0,69449.0,70836.0,334711.0
2022-5-6,14:0,68304.0,69860.0,68303.0,69454.0,214232.0
2022-5-6,13:30,68366.0,68444.0,68211.0,68304.0,53582.0
2022-5-6,13:0,68083.0,68442.0,68039.0,68366.0,106441.0
2022-5-6,12:30,67794.0,68136.0,67702.0,68083.0,87706.0
2022-5-6,12:0,67748.0,67848.0,67607.0,67797.0,63398.0
2022-5-6,11:30,67547.0,67771.0,67525.0,67749.0,86752.0
2022-5-6,11:0,67639.0,67678.0,67265.0,67549.0,105249.0
2022-5-6,10:30,67693.0,67880.0,67611.0,67648.0,128326.0
2022-5-6,10:0,68331.0,68505.0,67030.0,67700.0,230300.0
2022-5-5,18:30,68111.0,68610.0,68091.0,68472.0,71243.0
2022-5-5,18:0,67812.0,68823.0,67730.0,68110.0,234669.0
